id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q332851,"Frederick Elwyn Jones, Baron Elwyn-Jones",1983-10-02,1989-01-09,,Q7926162,,
Q7926162,"Victor Mishcon, Baron Mishcon",1989-01-09,1992-07-18,Q332851,Q337121,,
Q337121,"Derry Irvine, Baron Irvine of Lairg",1992-06-18,1997-05-02,Q7926162,Q336480,,
Q336480,"James Mackay, Baron Mackay of Clashfern",1997-05-02,1997-06-11,Q337121,Q336472,,
Q336472,"Christopher Prout, Baron Kingsland",1997-06-11,2009-07-12,Q336480,Q311278,,
Q311278,Jack Straw,2010-05-11,2010-10-07,Q336472,Q334155,,
Q334155,Sadiq Khan,2010-10-08,2015-05-11,Q311278,Q337117,,
Q337117,"Charles Falconer, Baron Falconer of Thoroton",2015-05-11,2016-06-26,Q334155,Q19871710,,
Q19871710,Richard Burgon,2016-06-27,2020-04-05,Q337117,Q534727,,
Q534727,David Lammy,2020-04-06,,Q19871710,,,
